MutationType	DBS2	DBS11
AC>CA	0.00037408	0.00136991
AC>CG	0.00003170	0.00019399
AC>CT	0.00012603	0.00075595
AC>GA	0.00023705	0.00044197
AC>GG	0.00000000	0.00224985
AC>GT	0.00028006	0.00570961
AC>TA	0.00148031	0.00026398
AC>TG	0.00000636	0.00023898
AC>TT	0.00292062	0.00281981
AT>CA	0.00003780	0.00947935
AT>CC	0.00000000	0.00189987
AT>CG	0.00000000	0.00001740
AT>GA	0.00016804	0.01119924
AT>GC	0.00000585	0.00417971
AT>TA	0.00045810	0.00383974
CC>AA	0.72415324	0.00000000
CC>AG	0.07261537	0.00097193
CC>AT	0.10002116	0.03449765
CC>GA	0.01770375	0.00095294
CC>GG	0.00045010	0.00344977
CC>GT	0.00110023	0.06949526
CC>TA	0.01600339	0.05879599
CC>TG	0.00023705	0.03229780
CC>TT	0.00000000	0.33197737
CG>AT	0.00115024	0.00181988
CG>GC	0.00036908	0.00016599
CG>GT	0.00128027	0.00117992
CG>TA	0.00000000	0.00000000
CG>TC	0.00215045	0.00068495
CG>TT	0.00556118	0.00069895
CT>AA	0.00321068	0.00439970
CT>AC	0.00000000	0.00234984
CT>AG	0.00058712	0.00049597
CT>GA	0.00001810	0.01159921
CT>GC	0.00013403	0.00610958
CT>GG	0.00008980	0.00401973
CT>TA	0.00338071	0.04169716
CT>TC	0.00003840	0.00298980
CT>TG	0.00039008	0.00147990
GC>AA	0.00508108	0.00099993
GC>AG	0.00032507	0.00328978
GC>AT	0.00095320	0.02719815
GC>CA	0.00106022	0.00210986
GC>CG	0.00006690	0.00403973
GC>TA	0.00073616	0.00024298
TA>AT	0.00275058	0.00222985
TA>CG	0.00001890	0.00058396
TA>CT	0.00028006	0.00337977
TA>GC	0.00008220	0.00101993
TA>GG	0.00007890	0.00037497
TA>GT	0.00130028	0.00266982
TC>AA	0.00145031	0.00021698
TC>AG	0.00020004	0.04739677
TC>AT	0.00000000	0.08459423
TC>CA	0.00068214	0.00028198
TC>CG	0.00000389	0.00323978
TC>CT	0.00335071	0.02009863
TC>GA	0.00088519	0.00023498
TC>GG	0.00000987	0.00732950
TC>GT	0.00008570	0.01519896
TG>AA	0.00296063	0.00782947
TG>AC	0.00022005	0.00086594
TG>AT	0.00429091	0.01049928
TG>CA	0.00014403	0.05609617
TG>CC	0.00005940	0.00312979
TG>CT	0.00307065	0.00557962
TG>GA	0.00147031	0.00730950
TG>GC	0.00027206	0.00611958
TG>GT	0.00640136	0.00523964
TT>AA	0.00431091	0.00476968
TT>AC	0.00034507	0.00103993
TT>AG	0.00021505	0.00126991
TT>CA	0.00000000	0.00201986
TT>CC	0.00000298	0.00399973
TT>CG	0.00001520	0.00000000
TT>GA	0.00004790	0.00070695
TT>GC	0.00000154	0.00000578
TT>GG	0.00000000	0.00000000
