MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
AC>CA	9.71400140770129e-07	0.013515702950974174	1.2500303967044602e-06	1.2075189602001046e-06	0.023115309080299084	0.011241999322783159	5.039494629954788e-06	2.68523162958445e-06	7.037827003841812e-06	2.7628234420262743e-06	0.006250641598307997	0.008317537406446718
AC>CG	1.2235650757475014e-06	1.3808233262579962e-06	0.0054676163198337235	1.0336028083202108e-06	0.004256678645970169	2.526257753743266e-06	1.989469842555991e-06	2.78990951301239e-06	0.010576774767832831	0.010642221556508957	1.5279474041562935e-06	5.045905572842457e-06
AC>CT	0.0020888777890732515	8.894325219443999e-07	9.316522550761875e-07	9.126235454459674e-07	0.005461350071800553	0.00430314550417279	0.006782417905810689	0.002014207706451998	0.0026488568690183458	0.008482061173754118	2.3749720867272115e-06	4.991428613720927e-06
AC>GA	0.02980925254523754	0.0038094647228717805	2.997741262333875e-07	6.081906462895859e-08	0.0008486938623718743	4.0385991496805215e-06	0.028611709363758564	0.03160247560736025	0.04736862271856808	4.258434546500211e-06	1.9532777514541523e-06	5.729048507419066e-06
AC>GG	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
AC>GT	1.1651340855678428e-06	0.010696055815481031	1.0525093330215896e-06	1.2750285350193735e-06	0.007963663844839175	0.0037488170341021033	1.032994043725921e-06	3.4534639667072043e-06	6.431539281948062e-06	4.103601463611995e-06	2.401391787998364e-06	6.941223091416759e-06
AC>TA	0.013054999126006805	3.90021546081698e-07	3.1368472264148295e-07	6.717700159697415e-07	0.009718542126142893	0.007901223088299502	7.508878297812771e-07	9.416992898136911e-07	0.029546678491351487	0.028303666562078434	0.039975263797668956	0.012477502281080887
AC>TG	1.0545467603151338e-06	4.966796495864401e-07	9.98271264052164e-07	6.059600945957158e-07	0.005255442392558507	2.6161481514463958e-06	0.03295929569467262	0.002976977268281189	6.826588196418015e-06	4.044333911679132e-06	3.6461827676248505e-06	7.110145315891714e-06
AC>TT	7.310919272640603e-07	1.144947032116761e-06	0.016973381295861144	9.063926881935914e-07	0.015450603568569931	0.02977173738181591	1.4739215089321077e-06	0.0034715636171313235	0.0026452884770151288	0.010578339700350626	0.012499761116941954	0.011638155107357306
AT>CA	1.3162803270461153e-06	0.0019061277691236	9.372262752549432e-07	9.015627597364074e-07	1.7250128848900204e-06	2.9527358947234463e-06	1.317912358445028e-06	0.0034736316604721653	0.012195187990073464	0.004194885177616925	0.01831390308884693	0.012475018399982218
AT>CC	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
AT>CG	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
AT>GA	0.0026307418360829614	1.5592802583341835e-06	9.34354852688557e-07	0.020803380177767394	1.3557533520724973e-06	2.499320362403523e-06	0.0035695436676633106	0.006942482428894436	6.764657530311524e-06	0.002101061404482607	3.0517749564751283e-06	7.0438288730656495e-06
AT>GC	1.641038534216932e-06	2.0662798306148035e-06	1.1952236263823578e-06	1.412883898410655e-06	2.0596316744558863e-06	3.2882680443435676e-06	1.9762799638556315e-06	4.23288647652953e-06	7.630469053765409e-06	4.653438350032957e-06	2.649209216087911e-06	7.099510321495473e-06
AT>TA	0.0013161797081011172	0.001906406271018568	9.633890499571861e-07	0.009211686507421745	0.0063839213725486845	2.8733582212225882e-06	1.903704833239317e-06	0.0034720961653420092	0.0026487442271900365	0.01473908116477105	2.668364163582737e-06	4.924240192849538e-06
CC>AA	0.2635838150978088	0.19734196960926056	0.01873989775776863	0.21918388903141023	0.1367076814174652	0.04723002340053881	0.12903589569032192	0.2041389137506485	2.785079640844538e-21	0.07594055384397506	0.057615771517157556	0.018746828378243662
CC>AG	0.02543614114306365	0.02718657157965936	0.009146677516400813	0.04233247302472591	0.09156674668192863	0.03957838416099548	0.03870025500655174	0.010348488538323864	0.031303805857896806	0.014892982188393944	0.04375661082913211	0.03619776689633909
CC>AT	0.0729387268424034	0.01715400293469429	0.020749111101031302	0.10893817842006684	0.03183290958404541	0.0420701302587986	0.1660061687231064	0.01387888640165329	5.695511310932488e-06	0.03587295264005661	0.1381894312798977	0.03207216522687304
CC>GA	0.010758127644658088	0.028536025434732437	9.066619668374188e-08	0.057574483752250674	0.041929642856121066	0.013757175361661211	0.03737513050436973	0.01713899421156384	0.004204346051913424	0.06601077541708947	0.016463924013105747	0.01401281742091669
CC>GG	0.002089537455947266	1.5659484915886423e-06	1.0456351674292818e-06	1.1719428130163578e-06	0.00668568911996772	3.1339401175500826e-06	1.7088324511860264e-06	3.509219118313922e-06	0.002649489733630617	0.002130618817409413	0.012913516981279826	5.484297344082734e-06
CC>GT	3.361911285537644e-06	0.0019048061035391584	0.03533661030232906	0.021413129568099976	0.008898410573601722	0.01854931116104126	3.029466029147443e-08	0.008539325101082795	0.04059615736878186	2.8025969286496343e-46	0.012497381120920182	0.18461905953377028
CC>TA	0.01957608349621296	0.0019050762320148352	0.0540133360773325	0.021963836252689363	0.0072882738099337985	4.691009394264256e-07	0.010797287326482774	8.629158628536971e-07	0.01125069748275202	0.00587474225430924	0.03431513265002195	3.3821169608927447e-06
