MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
AC>CA	1.0143316785615753e-06	5.507944024429889e-07	7.521979000557622e-07	4.701868419942912e-07	0.01574019158883857	1.3288277784795355e-06	3.2740608730819076e-06	8.852752671373309e-07	2.954079809569521e-06	0.009999517781284339	0.025001209443485096	0.0032312137278495356	1.8674164607546118e-06	0.014754977919710654	0.004772044007222575
AC>CG	1.3882433790968208e-06	0.0063274113597572065	9.524289339532262e-07	9.996131893785786e-07	9.707511480883114e-07	0.015553175922968876	3.8251062960625856e-06	1.4030410170562392e-06	3.719656660905457e-06	4.7672468951986955e-06	5.288674401526805e-06	4.7278909732995086e-06	1.7576537175045814e-06	7.669355659345456e-06	5.891705768590327e-06
AC>CT	3.1294245559365663e-06	9.544668387206911e-07	0.009017992990789026	8.004517894732999e-07	0.0067802819501707745	0.009276769460893775	2.831882250120543e-06	3.936959728889633e-07	2.327349807274004e-06	0.007280636307314126	0.004031426590654519	0.006337032711689972	0.026418824753477566	0.006786589683633793	5.738918298447971e-06
AC>GA	0.01266667597731157	6.143774839983962e-07	0.014728946161426393	9.236055461769865e-07	0.023288888856768608	7.776578854645777e-07	0.01720812253074655	1.0854452170860895e-06	2.1580172870017123e-06	0.014559517102770769	0.030747413169524406	3.8581414628424685e-06	0.003968284457459959	0.0033962630437599727	4.616893875208916e-06
AC>GG	1.5807651834620628e-06	7.727373144916782e-07	1.3911097339865358e-06	1.1347213103363173e-06	1.4343058865051717e-06	1.7737515236149193e-06	4.308869802116533e-06	1.8889432340074564e-06	4.770547684529447e-06	4.1271488612437676e-06	5.781594381915056e-06	6.530479026878311e-06	2.3320897980738665e-06	9.178886625704762e-06	6.315547307167435e-06
AC>GT	7.594392400278594e-07	7.741388344584266e-07	0.006452692475512748	6.261162070586579e-07	0.0032275940402314517	1.6543196238671954e-06	4.180191353952978e-06	2.0189743054288557e-06	4.806820425073966e-06	4.00494482164504e-06	5.633858154396876e-06	0.0032311165759438152	0.0032280845321565723	8.870105375535786e-06	6.264868807193124e-06
AC>TA	0.007595028613309296	2.418452879738222e-07	6.446867928625543e-08	6.05875470682804e-08	0.002916750193026019	0.020527034997940063	2.1544512492276837e-06	0.013126480575886034	0.0819026842713356	3.180059547958081e-06	3.856240800814703e-06	3.932478921342408e-06	1.737875163598801e-06	5.5004637033562174e-06	0.02159905611360955
AC>TG	1.6754620446590707e-06	7.398980295210369e-07	0.006947784891303854	3.7126508232177004e-07	0.006780880151609381	6.290643113970873e-07	3.8321459442158815e-06	1.5409613524916833e-06	4.069379338034196e-06	2.614098073649984e-06	5.697380493074888e-06	0.009491426777913148	0.011922220038695742	0.013569172075585811	5.707607670046855e-06
AC>TT	5.059428076492622e-07	0.018670959804708787	0.010923906477717082	9.521288063751854e-07	0.002058306458638981	0.009276727460047596	2.1388719687820413e-06	1.9099274142478573e-06	1.2370330523481244e-06	1.829604389058659e-06	0.041127863007477575	4.352305586508505e-06	0.016928891830400517	5.463954244078195e-06	0.009538271410519883
AT>CA	8.518333174833969e-07	7.929667845019139e-07	0.009525236230827261	2.5021519149959205e-07	0.0041170240980591185	9.70774362940574e-07	2.6030028948298424e-06	1.1426181117712985e-06	0.04159963159409017	0.0024289942064569916	4.515917692060612e-06	2.299945867889621e-06	1.8068922599923099e-06	8.430908314949192e-06	0.04295122352114049
