MutationType	ID1	ID2	ID7	ID13	ID83A	ID83B	ID83C	ID83D	ID83G	ID83H	ID83I
1:Del:C:0	0.00015989	0.00482412	0.00046656	0.06554837	0.00000202	0.00000075	0.00235486	0.00050636	0.00945737	0.00058312	0.00088669
1:Del:C:1	0.00077352	0.00002210	0.00000000	0.01753646	0.02447566	0.02014308	0.00003850	0.85147858	0.00000697	0.00000495	0.00000421
1:Del:C:2	0.00000000	0.00000311	0.00856194	0.00512022	0.00568886	0.59051174	0.00005157	0.00001826	0.00000980	0.00000620	0.00000393
1:Del:C:3	0.00190761	0.00247208	0.04236015	0.00535052	0.10331657	0.07821367	0.20846954	0.00002144	0.00000550	0.00000155	0.00000340
1:Del:C:4	0.00070599	0.00385698	0.11489191	0.00434601	0.14833711	0.05792469	0.06976827	0.00000984	0.00000817	0.00006155	0.00671609
1:Del:C:5	0.00337011	0.01461542	0.25176314	0.00084306	0.02332918	0.00449282	0.00493418	0.00001095	0.00001153	0.00001045	0.00285004
1:Del:T:0	0.00131160	0.00790597	0.00266749	0.05369876	0.00000227	0.00000092	0.00013173	0.00010932	0.00048598	0.00192288	0.00036207
1:Del:T:1	0.00000000	0.00000000	0.00773273	0.49822416	0.03279300	0.07346006	0.04252050	0.04748290	0.00000673	0.00000503	0.00000363
1:Del:T:2	0.00093645	0.00703642	0.00025476	0.02377780	0.02074568	0.04001078	0.51292105	0.01674907	0.00000680	0.00000334	0.00000457
1:Del:T:3	0.00229585	0.02023474	0.02897274	0.06278095	0.27525998	0.08682922	0.01145340	0.00001259	0.00000445	0.00000323	0.00000350
1:Del:T:4	0.00429142	0.04711993	0.15885055	0.02300438	0.17700680	0.02379808	0.05945732	0.00001133	0.00000537	0.00000710	0.01364168
1:Del:T:5	0.00000000	0.81469723	0.00000019	0.00607958	0.09522741	0.01447448	0.02350483	0.00000397	0.00000073	0.00000017	0.01020736
1:Ins:C:0	0.00000000	0.00000000	0.00067237	0.00285043	0.00000193	0.00448589	0.00163105	0.00000396	0.00824982	0.00060338	0.00440387
1:Ins:C:1	0.00000000	0.00022703	0.00002620	0.00165226	0.00000251	0.00000077	0.00212246	0.00000233	0.04304569	0.00392779	0.01640136
1:Ins:C:2	0.00000000	0.00002620	0.00002580	0.00082125	0.00000248	0.00000069	0.00000386	0.00000307	0.02117180	0.00730938	0.00442656
