MutationType	DBS78A	DBS78B
AC>CA	0.00567368	0.00664752
AC>CG	0.00120728	0.00317886
AC>CT	0.00824138	0.00021705
AC>GA	0.01332100	0.00120175
AC>GG	0.00032223	0.00139955
AC>GT	0.00159235	0.00088334
AC>TA	0.01017358	0.00629773
AC>TG	0.00303876	0.00000161
AC>TT	0.00352193	0.01132818
AT>CA	0.00218743	0.00347664
AT>CC	0.00000196	0.00000314
AT>CG	0.00000196	0.00000314
AT>GA	0.00468220	0.00125215
AT>GC	0.00000196	0.00000314
AT>TA	0.00467604	0.00000078
CC>AA	0.18960474	0.02474715
CC>AG	0.03664177	0.00887416
CC>AT	0.06635902	0.02532534
CC>GA	0.02508187	0.00317135
CC>GG	0.00468347	0.00000124
CC>GT	0.00363909	0.05640069
CC>TA	0.00691236	0.03817593
CC>TG	0.00182890	0.00199466
CC>TT	0.01637630	0.20086356
CG>AT	0.00090745	0.00000244
CG>GC	0.00000196	0.00000314
CG>GT	0.00221074	0.00492605
CG>TA	0.00248939	0.00667928
CG>TC	0.00000196	0.00000314
CG>TT	0.00000196	0.00000314
CT>AA	0.02108376	0.01950201
CT>AC	0.00337999	0.00000146
CT>AG	0.01603900	0.00712540
CT>GA	0.00530987	0.00000086
CT>GC	0.00319886	0.00298372
CT>GG	0.00244795	0.00323368
CT>TA	0.01035312	0.05285153
CT>TC	0.00505305	0.00659463
CT>TG	0.00524201	0.00828518
GC>AA	0.05167467	0.01953235
GC>AG	0.02355653	0.02660383
GC>AT	0.01087239	0.00740358
GC>CA	0.00727286	0.01036718
GC>CG	0.00000196	0.00000314
GC>TA	0.00462596	0.00391711
TA>AT	0.00572207	0.01271968
TA>CG	0.00152390	0.00065028
TA>CT	0.01539496	0.00314968
TA>GC	0.00000196	0.00000314
TA>GG	0.00029734	0.00572054
TA>GT	0.00825268	0.00172530
TC>AA	0.09436759	0.02253904
TC>AG	0.00500826	0.04963037
TC>AT	0.02488856	0.16633465
TC>CA	0.03682709	0.00821511
TC>CG	0.00347774	0.00233648
TC>CT	0.01714902	0.01331817
TC>GA	0.02731727	0.00277753
TC>GG	0.00119242	0.00498858
TC>GT	0.00228187	0.02327655
TG>AA	0.01013649	0.00000068
TG>AC	0.00216343	0.00000159
TG>AT	0.03101006	0.00059432
TG>CA	0.02278670	0.02175150
TG>CC	0.00586290	0.01600994
TG>CT	0.06623241	0.00658370
TG>GA	0.00246754	0.00075016
TG>GC	0.00205024	0.00152776
TG>GT	0.00765870	0.01563761
TT>AA	0.00866144	0.01900834
TT>AC	0.00190380	0.00000175
TT>AG	0.00342000	0.00469871
TT>CA	0.00000027	0.00909960
TT>CC	0.00218251	0.00453429
TT>CG	0.00216124	0.00239757
TT>GA	0.00000196	0.00000314
TT>GC	0.00058640	0.00454150
TT>GG	0.00151449	0.00000132
