MutationType	DBS2	DBS4	DBS6	DBS11	DBS13	DBS17	DBS18	DBS20	DBS78F	DBS78J
AC>CA	0.00037408	0.00414186	0.00266057	0.00136991	0.00215512	0.02071416	0.01032284	0.00503114	0.00000186	0.01772828
AC>CG	0.00003170	0.00004960	0.00014603	0.00019399	0.00005150	0.00178473	0.00270831	0.00190918	0.00000216	0.00000339
AC>CT	0.00012603	0.00000000	0.00024005	0.00075595	0.00285340	0.01448810	0.02015771	0.00237222	0.00849866	0.00705201
AC>GA	0.00023705	0.00440197	0.00858184	0.00044197	0.00276230	0.01919179	0.00733972	0.00158594	0.00000207	0.00000256
AC>GG	0.00000000	0.00000000	0.00010402	0.00224985	0.00146431	0.00806451	0.00498693	0.00263499	0.00000279	0.00000444
AC>GT	0.00028006	0.00000001	0.00013203	0.00570961	0.00443944	0.03054249	0.01222056	0.00031640	0.00000267	0.00000419
AC>TA	0.00148031	0.00127057	0.01010217	0.00026398	0.00257991	0.00866264	0.02293684	0.00933111	0.03505976	0.00000124
AC>TG	0.00000636	0.00005310	0.00044910	0.00023898	0.00428449	0.00880495	0.01387712	0.00013060	0.00000202	0.00000310
AC>TT	0.00292062	0.00016107	0.00318068	0.00281981	0.01573974	0.01746806	0.01684274	0.00251075	0.00338686	0.02835199
AT>CA	0.00003780	0.00091641	0.00011402	0.00947935	0.00420812	0.01015017	0.00456027	0.00223810	0.00000181	0.00000313
AT>CC	0.00000000	0.00000000	0.00006390	0.00189987	0.00100803	0.00705084	0.00181878	0.00123446	0.00000279	0.00000444
AT>CG	0.00000000	0.00000000	0.00000182	0.00001740	0.00000233	0.00141649	0.00074281	0.00155349	0.00000279	0.00000444
AT>GA	0.00016804	0.00032415	0.00162035	0.01119924	0.00213368	0.01421218	0.00264049	0.00845878	0.00000175	0.00000369
AT>GC	0.00000585	0.00001760	0.00001720	0.00417971	0.00030030	0.01092828	0.00049459	0.00036851	0.00000279	0.00000444
AT>TA	0.00045810	0.00453203	0.00220047	0.00383974	0.01051729	0.01253780	0.00800010	0.00293144	0.00693785	0.00000312
CC>AA	0.72415324	0.00000000	0.00000000	0.00000000	0.00000051	0.00035239	0.01061034	0.00037896	0.01402112	0.06312178
CC>AG	0.07261537	0.00543244	0.06161322	0.00097193	0.01167958	0.00121360	0.04763347	0.00397481	0.06615580	0.04698889
CC>AT	0.10002116	0.01570704	0.00043809	0.03449765	0.04328139	0.00073096	0.09923242	0.00553983	0.05243240	0.05119737
CC>GA	0.01770375	0.00355159	0.03550762	0.00095294	0.00001040	0.00074893	0.01597963	0.00085171	0.03294052	0.03376461
CC>GG	0.00045010	0.00007300	0.01810389	0.00344977	0.00076944	0.00329962	0.00521338	0.00268544	0.00625190	0.00000381
CC>GT	0.00110023	0.00007990	0.00344074	0.06949526	0.02345453	0.00946063	0.01902114	0.00415748	0.01679260	0.07801516
CC>TA	0.01600339	0.00017008	0.00222048	0.05879599	0.04135706	0.00029078	0.02267045	0.00994449	0.03320817	0.00000048
CC>TG	0.00023705	0.00000830	0.00687147	0.03229780	0.00954473	0.03163951	0.01806850	0.00199377	0.00000178	0.00000407
CC>TT	0.00000000	0.00000000	0.00000000	0.33197737	0.00009970	0.00082274	0.03204135	0.00585993	0.05856635	0.04373192
CG>AT	0.00115024	0.00029013	0.00754162	0.00181988	0.00041279	0.00251098	0.00082662	0.00146010	0.00000212	0.00000431
CG>GC	0.00036908	0.00000510	0.00059013	0.00016599	0.00117069	0.00233536	0.00003220	0.00015095	0.00000279	0.00000444
