MutationType	DBS2	DBS4	DBS6	DBS10	DBS11	DBS13	DBS18	DBS20	DBS78F
AC>CA	0.00037408	0.00414186	0.00266057	0.00963042	0.00136991	0.00215512	0.01032284	0.00503114	0.00000348
AC>CG	0.00003170	0.00004960	0.00014603	0.00001770	0.00019399	0.00005150	0.00270831	0.00190918	0.00171461
AC>CT	0.00012603	0.00000000	0.00024005	0.01350059	0.00075595	0.00285340	0.02015771	0.00237222	0.00281753
AC>GA	0.00023705	0.00440197	0.00858184	0.00535023	0.00044197	0.00276230	0.00733972	0.00158594	0.00000077
AC>GG	0.00000000	0.00000000	0.00010402	0.00059003	0.00224985	0.00146431	0.00498693	0.00263499	0.00000358
AC>GT	0.00028006	0.00000001	0.00013203	0.02870124	0.00570961	0.00443944	0.01222056	0.00031640	0.00166105
AC>TA	0.00148031	0.00127057	0.01010217	0.00010501	0.00026398	0.00257991	0.02293684	0.00933111	0.04515866
AC>TG	0.00000636	0.00005310	0.00044910	0.00000766	0.00023898	0.00428449	0.01387712	0.00013060	0.00497848
AC>TT	0.00292062	0.00016107	0.00318068	0.00071003	0.00281981	0.01573974	0.01684274	0.00251075	0.00285240
AT>CA	0.00003780	0.00091641	0.00011402	0.00353015	0.00947935	0.00420812	0.00456027	0.00223810	0.02311271
AT>CC	0.00000000	0.00000000	0.00006390	0.00116005	0.00189987	0.00100803	0.00181878	0.00123446	0.00000358
AT>CG	0.00000000	0.00000000	0.00000182	0.00259011	0.00001740	0.00000233	0.00074281	0.00155349	0.00000358
AT>GA	0.00016804	0.00032415	0.00162035	0.00008060	0.01119924	0.00213368	0.00264049	0.00845878	0.00564435
AT>GC	0.00000585	0.00001760	0.00001720	0.00408018	0.00417971	0.00030030	0.00049459	0.00036851	0.00000358
AT>TA	0.00045810	0.00453203	0.00220047	0.00293013	0.00383974	0.01051729	0.00800010	0.00293144	0.00564663
CC>AA	0.72415324	0.00000000	0.00000000	0.01370059	0.00000000	0.00000051	0.01061034	0.00037896	0.00795690
CC>AG	0.07261537	0.00543244	0.06161322	0.00007130	0.00097193	0.01167958	0.04763347	0.00397481	0.05749137
CC>AT	0.10002116	0.01570704	0.00043809	0.01050046	0.03449765	0.04328139	0.09923242	0.00553983	0.01752420
CC>GA	0.01770375	0.00355159	0.03550762	0.00339015	0.00095294	0.00001040	0.01597963	0.00085171	0.01880275
CC>GG	0.00045010	0.00007300	0.01810389	0.00000000	0.00344977	0.00076944	0.00521338	0.00268544	0.00000615
CC>GT	0.00110023	0.00007990	0.00344074	0.00108005	0.06949526	0.02345453	0.01902114	0.00415748	0.00892932
CC>TA	0.01600339	0.00017008	0.00222048	0.02390104	0.05879599	0.04135706	0.02267045	0.00994449	0.00942108
CC>TG	0.00023705	0.00000830	0.00687147	0.00000000	0.03229780	0.00954473	0.01806850	0.00199377	0.00000151
CC>TT	0.00000000	0.00000000	0.00000000	0.02060089	0.33197737	0.00009970	0.03204135	0.00585993	0.02746554
CG>AT	0.00115024	0.00029013	0.00754162	0.00000000	0.00181988	0.00041279	0.00082662	0.00146010	0.00846576
CG>GC	0.00036908	0.00000510	0.00059013	0.00001900	0.00016599	0.00117069	0.00003220	0.00015095	0.00000358
CG>GT	0.00128027	0.00000000	0.00322069	0.00001020	0.00117992	0.00236357	0.00161280	0.00024229	0.00000168
CG>TA	0.00000000	0.00000000	0.00000000	0.35801552	0.00000000	0.00065557	0.00025472	0.00051120	0.00333456
CG>TC	0.00215045	0.00000000	0.00891191	0.00265012	0.00068495	0.00221426	0.00120722	0.00127668	0.00000358
CG>TT	0.00556118	0.00036116	0.01870401	0.00777034	0.00069895	0.00164313	0.00254547	0.00039108	0.00000358
CT>AA	0.00321068	0.00000000	0.00448096	0.00393017	0.00439970	0.06168987	0.02653683	0.00960691	0.03360541
CT>AC	0.00000000	0.00000000	0.00195042	0.01300056	0.00234984	0.02589689	0.02614757	0.00569839	0.00282316
CT>AG	0.00058712	0.00036316	0.03950848	0.02650115	0.00049597	0.01328834	0.00726700	0.00057029	0.06898647
CT>GA	0.00001810	0.00067330	0.00734158	0.00000000	0.01159921	0.00109409	0.00364736	0.00312897	0.00294618
CT>GC	0.00013403	0.00007220	0.00179038	0.00000000	0.00610958	0.00388039	0.00122454	0.00063377	0.00186609
CT>GG	0.00008980	0.00092641	0.00681146	0.00000000	0.00401973	0.00264999	0.00198528	0.00050315	0.00004083
CT>TA	0.00338071	0.00000000	0.00008840	0.00403018	0.04169716	0.03108580	0.00952199	0.01808698	0.02419974
CT>TC	0.00003840	0.00000000	0.00000000	0.00275012	0.00298980	0.00851099	0.00632082	0.00065994	0.00000112
CT>TG	0.00039008	0.00003080	0.01120240	0.04570198	0.00147990	0.00391349	0.00259603	0.00600496	0.00666807
GC>AA	0.00508108	0.32814716	0.00000000	0.00408018	0.00099993	0.00000003	0.03483500	0.01018321	0.02117382
GC>AG	0.00032507	0.01130507	0.00366079	0.00000000	0.00328978	0.01696915	0.04229653	0.00971442	0.02622765
GC>AT	0.00095320	0.00924415	0.00188040	0.00775034	0.02719815	0.01737239	0.05069040	0.01683102	0.01938557
GC>CA	0.00106022	0.01190534	0.00869187	0.00010501	0.00210986	0.01039921	0.02342080	0.00996847	0.00685809
GC>CG	0.00006690	0.00000098	0.00000000	0.00000000	0.00403973	0.00086487	0.00193531	0.00098246	0.00000358
GC>TA	0.00073616	0.01770794	0.00082918	0.00281012	0.00024298	0.00003390	0.01902483	0.00031415	0.00000316
