MutationType	DBS78A	DBS78B	DBS78C	DBS78D
AC>CA	8.80E-04	1.95E-03	2.52E-03	8.53E-03
AC>CG	1.76E-03	1.78E-03	1.07E-03	5.36E-07
AC>CT	3.34E-03	4.68E-03	3.10E-08	6.47E-03
AC>GA	6.72E-03	6.73E-03	1.27E-03	2.37E-03
AC>GG	7.20E-04	9.05E-04	1.02E-03	4.40E-07
AC>GT	5.91E-07	7.38E-04	5.08E-07	3.66E-03
AC>TA	1.53E-03	9.36E-03	3.19E-03	6.70E-03
AC>TG	3.41E-03	3.07E-07	3.68E-07	4.57E-03
AC>TT	5.30E-04	5.13E-03	3.31E-03	9.78E-05
AT>CA	7.19E-04	3.08E-03	1.69E-03	1.28E-03
AT>CC	1.24E-07	2.24E-07	2.81E-07	2.71E-07
AT>CG	1.24E-07	2.24E-07	2.81E-07	2.71E-07
AT>GA	1.81E-03	4.10E-03	1.45E-03	7.68E-07
AT>GC	1.24E-07	2.24E-07	2.81E-07	2.71E-07
AT>TA	3.04E-03	2.94E-03	1.43E-07	4.48E-07
CC>AA	2.73E-02	3.01E-02	7.80E-03	3.44E-02
CC>AG	7.82E-03	1.04E-02	1.75E-03	7.20E-03
CC>AT	1.27E-02	1.05E-02	5.34E-03	9.81E-03
CC>GA	7.44E-03	7.52E-03	1.06E-03	3.90E-03
CC>GG	3.41E-03	2.13E-03	4.82E-07	3.82E-03
CC>GT	2.42E-03	3.20E-03	1.35E-02	8.19E-03
CC>TA	3.49E-03	1.67E-03	3.61E-03	4.58E-03
CC>TG	1.72E-03	1.52E-03	1.95E-03	6.03E-07
CC>TT	4.02E-03	4.18E-03	1.90E-02	6.82E-03
CG>AT	1.32E-03	9.05E-04	4.14E-07	3.47E-07
CG>GC	1.24E-07	2.24E-07	2.81E-07	2.71E-07
CG>GT	1.32E-03	7.37E-04	1.95E-03	7.55E-03
CG>TA	3.73E-07	4.13E-03	3.26E-03	1.30E-03
CG>TC	1.24E-07	2.24E-07	2.81E-07	2.71E-07
CG>TT	1.24E-07	2.24E-07	2.81E-07	2.71E-07
CT>AA	6.42E-03	4.62E-03	6.21E-03	5.38E-03
CT>AC	2.11E-03	2.19E-03	3.85E-07	4.17E-07
CT>AG	1.76E-03	7.66E-03	4.36E-03	6.10E-03
CT>GA	3.23E-03	2.78E-03	1.78E-07	5.72E-07
CT>GC	3.60E-03	8.92E-04	3.79E-03	8.53E-04
CT>GG	1.81E-03	1.93E-03	2.04E-03	9.14E-04
CT>TA	4.06E-03	9.55E-03	1.29E-02	7.94E-03
CT>TC	2.96E-03	3.04E-03	5.28E-03	2.53E-03
CT>TG	2.54E-03	6.55E-03	3.69E-03	3.70E-03
GC>AA	1.40E-02	6.94E-03	5.78E-03	1.72E-02
GC>AG	9.14E-03	7.21E-03	7.33E-03	1.31E-02
GC>AT	2.27E-03	1.03E-03	6.13E-03	1.08E-02
GC>CA	6.81E-07	7.88E-03	1.07E-03	2.54E-03
GC>CG	1.24E-07	2.24E-07	2.81E-07	2.71E-07
GC>TA	3.86E-03	1.64E-03	9.91E-04	2.77E-03
TA>AT	1.84E-07	1.87E-03	2.28E-03	6.50E-03
TA>CG	7.20E-04	2.01E-03	2.49E-07	4.70E-07
TA>CT	3.19E-03	8.17E-03	1.51E-07	5.50E-03
TA>GC	1.24E-07	2.24E-07	2.81E-07	2.71E-07
TA>GG	2.88E-03	1.16E-03	3.06E-03	6.46E-07
TA>GT	2.19E-03	1.69E-03	4.45E-07	7.73E-03
TC>AA	5.06E-03	1.07E-02	6.34E-03	1.38E-02
TC>AG	2.62E-03	2.18E-03	8.03E-03	5.53E-03
TC>AT	1.48E-02	4.07E-03	1.79E-02	1.38E-02
TC>CA	1.35E-02	1.22E-02	3.31E-03	1.57E-02
TC>CG	1.50E-03	2.62E-03	1.33E-03	1.05E-06
TC>CT	7.89E-03	4.78E-03	4.90E-03	3.07E-03
TC>GA	4.16E-03	6.97E-03	3.38E-07	2.37E-03
TC>GG	9.40E-04	9.99E-04	3.62E-03	1.23E-06
TC>GT	3.14E-03	3.18E-03	4.91E-03	4.32E-03
TG>AA	4.29E-03	3.03E-03	8.16E-08	1.66E-07
TG>AC	1.62E-03	2.19E-07	3.12E-07	3.67E-07
TG>AT	5.57E-03	7.18E-03	8.74E-08	7.35E-03
TG>CA	6.70E-03	4.23E-03	8.64E-03	2.16E-02
TG>CC	2.06E-03	3.57E-03	4.59E-03	6.98E-03
TG>CT	1.71E-02	1.01E-02	1.87E-03	2.54E-02
TG>GA	1.38E-03	1.15E-03	2.75E-07	2.12E-03
TG>GC	1.04E-03	1.81E-03	1.02E-03	3.67E-03
TG>GT	3.02E-03	2.18E-03	6.06E-03	7.39E-03
TT>AA	3.52E-03	6.11E-03	7.31E-03	5.50E-03
TT>AC	2.16E-03	1.79E-03	4.45E-07	5.22E-07
TT>AG	7.90E-07	1.81E-03	2.04E-07	2.50E-03
TT>CA	1.59E-07	1.88E-07	2.55E-03	2.58E-07
TT>CC	2.57E-03	3.54E-07	1.67E-03	5.60E-07
TT>CG	1.19E-07	3.31E-07	1.99E-03	3.43E-03
TT>GA	1.24E-07	2.24E-07	2.81E-07	2.71E-07
TT>GC	1.99E-07	1.78E-03	3.00E-06	1.63E-03
TT>GG	8.80E-04	2.58E-07	4.05E-07	1.81E-03
