MutationType	DBS78A	DBS78B	DBS78C	DBS78D
AC>CA	0.0008805233843759197	0.0019493182284463727	0.004008154960570209	0.02036563146393746
AC>CG	0.001759637572047268	0.0017854203041224536	0.004221153120124654	1.9459076611383353e-06
AC>CT	0.003341891587774626	0.012680117617122733	7.630078357578896e-07	0.011396866225209124
AC>GA	0.016027209729531932	0.01274165070927893	0.0012697501898969676	0.0023720389001880447
AC>GG	0.0007208506992242292	0.0009069616304714145	0.0010234582238808799	2.625104684739199e-06
AC>GT	1.472118435685843e-06	0.0007407904948649957	2.0734313352477328e-06	0.005738644349003152
AC>TA	0.002424075175076723	0.023516010493040085	0.0031952796788630167	0.013488581216256535
AC>TG	0.004239378856095754	1.6677703570167068e-06	1.6666459259795374e-06	0.004568517813004292
AC>TT	0.0005304752743995778	0.010657995448059409	0.014233946334570646	9.832074415498937e-05
AT>CA	0.0007212427582032888	0.007086386615492301	0.0016891955124947345	0.001283203237608177
AT>CC	1.3543157820095075e-06	2.2858041120343843e-06	2.363076987421664e-06	3.6328771784610582e-06
AT>CG	1.3543157820095075e-06	2.2858041120343843e-06	2.363076987421664e-06	3.6328771784610582e-06
AT>GA	0.004538481370889258	0.007256112650929935	0.0014544955045380447	1.869475545390742e-06
AT>GC	1.3543157820095075e-06	2.2858041120343843e-06	2.363076987421664e-06	3.6328771784610582e-06
AT>TA	0.007728677876934853	0.004713829206821174	1.1975364373029152e-06	1.6805661857688392e-06
CC>AA	0.26888318061828614	0.1220281533896923	0.024067971110343932	0.07584478930748446
CC>AG	0.045131638273596765	0.021278549451380968	0.004199849534779787	0.042174024507403374
CC>AT	0.11615804582834244	0.023220772587956164	0.02628967948257923	0.022300797493062418
CC>GA	0.029088281840085984	0.02213597148656845	0.0010600039067583111	0.019889058917760848
CC>GG	0.004237072833257116	0.00470130379942475	1.3468603356159293e-06	0.005672786160130272
CC>GT	0.005272064130758735	0.0041019166200158	0.04938864707946777	0.02389469955705863
CC>TA	0.010901320765788114	0.0026638365350663664	0.042460685968399046	0.013999247737228871
CC>TG	0.0024217868620667105	0.002367003800566181	0.0029373841656706646	2.4233369003923145e-06
CC>TT	0.03205424435436725	0.008527499018236994	0.254497104883194	0.013598835840821267
CG>AT	0.001324840014262918	0.0009078209116069047	2.132985014213773e-06	2.977242661472701e-06
CG>GC	1.3543157820095075e-06	2.2858041120343843e-06	2.363076987421664e-06	3.6328771784610582e-06
CG>GT	0.0013271979330511385	0.0007378907473139407	0.0029395293537618273	0.009776070255611558
CG>TA	4.920997007218375e-07	0.006305230995963029	0.007762879445306225	0.0024680998772510067
CG>TC	1.3543157820095075e-06	2.2858041120343843e-06	2.363076987421664e-06	3.6328771784610582e-06
CG>TT	1.3543157820095075e-06	2.2858041120343843e-06	2.363076987421664e-06	3.6328771784610582e-06
CT>AA	0.015775986993685365	0.01368972212076187	0.014996448438614607	0.038904085755348206
CT>AC	0.004646551846576585	0.0032096709424763504	1.5457525705642184e-06	2.242724417556019e-06
CT>AG	0.011294431146234274	0.025919306464493273	0.00711882719397181	0.01051789904013276
CT>GA	0.00538198679623747	0.008645554854138027	1.10583102923556e-06	1.729046562104486e-06
CT>GC	0.0035961670450603833	0.0008936532466918834	0.007279983372518473	0.000854582555689376
CT>GG	0.004046980127964161	0.0025140100510299135	0.0030371887378237263	0.0009149522583356884
CT>TA	0.0052859550442008185	0.023041192174878232	0.055060606077313425	0.012367350241493113
CT>TC	0.002964989762517689	0.005688164730759127	0.006517494641047961	0.0049064185641441325
CT>TG	0.0025443085927236097	0.014531911513768137	0.005664689987793281	0.0037058203071865135
GC>AA	0.05008799526840448	0.05620628744363785	0.015977755934000016	0.03729363772145007
GC>AG	0.042864199727773666	0.009187911078333855	0.022609480001710834	0.020091893896460534
GC>AT	0.004709305732285429	0.0010335207608932252	0.006127471191086897	0.03596828654408455
GC>CA	9.18727391763241e-07	0.023751951195299624	0.006846996117383241	0.003526919627688585
GC>CG	1.3543157820095075e-06	2.2858041120343843e-06	2.363076987421664e-06	3.6328771784610582e-06
GC>TA	0.008025700284247251	0.004141801136711365	0.0010003174980624864	0.0027759734873257003
TA>AT	2.6030563731196163e-07	0.006480678097796044	0.011350485775619746	0.015314332689740695
TA>CG	0.0007208164713119914	0.004594701000428358	1.4205469142325456e-06	2.482182640051178e-06
TA>CT	0.0031973504836756207	0.025448549700524837	5.276730982078926e-07	0.02313362844288349
TA>GC	1.3543157820095075e-06	2.2858041120343843e-06	2.363076987421664e-06	3.6328771784610582e-06
TA>GG	0.002878331716900817	0.0018926571277120274	0.0030650748541120264	2.658711798630975e-06
TA>GT	0.008594007114879787	0.001686384027104282	1.3716069986458024e-06	0.01632559337353996
TC>AA	0.026501822285354137	0.16155990958213806	0.01278726477175951	0.09357182756066322
TC>AG	0.0057792183808942355	0.003209242890807218	0.0579449437558651	0.01469384009760617
TC>AT	0.027855099237922332	0.02963311206549406	0.18547897934913635	0.0469949048012495
TC>CA	0.026691719191592255	0.058038431033492086	0.003310655747202418	0.015715974948443547
TC>CG	0.004679027542408676	0.0037053508429039537	0.0032261759963603254	2.0568381273997317e-06
TC>CT	0.02818257287144661	0.00785142327149515	0.015153842298173004	0.0050240340404116065
TC>GA	0.03394879475235939	0.0318003473803401	4.2457433835352276e-07	0.004844976815840596
TC>GG	0.0022612664683947514	0.0010004075607071173	0.00707943958730084	2.3782635707902957e-06
TC>GT	0.005061286516701102	0.012298887176439167	0.010147488588879127	0.005761656143295113
TG>AA	0.011378612834960222	0.015935233794152737	5.901036558952911e-07	2.635766463754408e-07
TG>AC	0.004772896634244716	1.5061981457620277e-06	1.961549105544691e-06	2.0971911908418407e-06
TG>AT	0.01516985182058761	0.03797634989023209	4.0958220495213025e-07	0.036900416016578674
TG>CA	0.010376774323477642	0.016075979080733306	0.013237272864165562	0.058854229003191
TG>CC	0.004290146566927433	0.003570150700591057	0.013826951978626312	0.016528500321692265
TG>CT	0.03586649433007096	0.050227667205035686	0.0018653995049021433	0.1222278743982315
TG>GA	0.0013801735129504778	0.0027978194626484764	1.38895934469474e-06	0.0044459501858909786
TG>GC	0.0016943339993304106	0.0027849393149608657	0.0010226568975099325	0.003676525632818084
TG>GT	0.004050123087654356	0.006976838037371649	0.014773132352115682	0.017144688868302182
TT>AA	0.005048258503074976	0.012673910334706306	0.025676642265170812	0.0055008267889206765
