MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	0.00000001	0.00042915	0.00183677	0.00383166	0.00023026	0.00196918	0.00424060	0.00294072
1:Del:C:1	0.00793382	0.01409021	0.80617184	0.02281169	0.00000055	0.00000577	0.00001091	0.00000808
1:Del:C:2	0.12844340	0.06836421	0.05099213	0.05647899	0.00000061	0.00000846	0.04282136	0.03674222
1:Del:C:3	0.17259318	0.03681967	0.00465847	0.02797750	0.01591867	0.00000178	0.01438444	0.05525028
1:Del:C:4	0.11602434	0.01352437	0.00035165	0.01244592	0.07109312	0.00000943	0.03563176	0.00875110
1:Del:C:5	0.02255978	0.00241261	0.00001076	0.00001631	0.17075949	0.00000788	0.00194695	0.00026918
1:Del:T:0	0.00000006	0.00033467	0.00032671	0.00093792	0.00019985	0.00118443	0.00039221	0.00018089
1:Del:T:1	0.04192106	0.44190162	0.05271823	0.01589224	0.00071955	0.00000833	0.00817040	0.00001026
1:Del:T:2	0.06360121	0.16667552	0.02793028	0.13347350	0.00014597	0.00000464	0.01330064	0.00003107
1:Del:T:3	0.22561508	0.02710448	0.00002177	0.02175325	0.02354471	0.00000449	0.00001099	0.00000863
1:Del:T:4	0.13314822	0.03067466	0.00002126	0.00890117	0.06718655	0.00000959	0.01763673	0.01096136
1:Del:T:5	0.08810959	0.01001247	0.00000611	0.00195753	0.38751900	0.00000027	0.00751639	0.00001097
1:Ins:C:0	0.00000001	0.00160668	0.00000568	0.00792501	0.00000108	0.00245368	0.00554567	0.00257789
1:Ins:C:1	0.00000001	0.00466988	0.00000529	0.02115638	0.00144532	0.01306754	0.00893250	0.01428403
1:Ins:C:2	0.00000001	0.00000803	0.00000361	0.00860255	0.00145421	0.00752519	0.01202445	0.01708976
1:Ins:C:3	0.00000001	0.00606763	0.00097409	0.01313506	0.00280705	0.00117385	0.01344350	0.00635491
1:Ins:C:4	0.00000001	0.00390145	0.00271143	0.02173568	0.00414330	0.01078458	0.01427808	0.00597423
1:Ins:C:5	0.00000001	0.00000603	0.00000327	0.01292021	0.04495575	0.00464848	0.05384582	0.00921610
1:Ins:T:0	0.00000002	0.00000923	0.00145520	0.01546012	0.00294734	0.00714839	0.01099190	0.01377140
1:Ins:T:1	0.00000001	0.04205613	0.00883848	0.02853741	0.00453320	0.02613741	0.06400240	0.06107161
1:Ins:T:2	0.00000001	0.01016524	0.00000402	0.01781020	0.00947089	0.00112842	0.02481525	0.02221670
1:Ins:T:3	0.00000001	0.00364102	0.00348819	0.01363722	0.00558704	0.00536031	0.01838495	0.02396597
1:Ins:T:4	0.00000001	0.00095521	0.00030842	0.00456378	0.00353144	0.00165178	0.00714710	0.00203155
1:Ins:T:5	0.00000000	0.00035124	0.00001024	0.00584275	0.08642293	0.00000610	0.20440544	0.03970012
2:Del:R:0	0.00000002	0.00000147	0.00000127	0.00000487	0.01491371	0.05072793	0.00495503	0.30605272
2:Del:R:1	0.00000000	0.00001502	0.00029284	0.00299406	0.00081426	0.00339027	0.01218100	0.00601313
2:Del:R:2	0.00000013	0.00018080	0.00015766	0.00062221	0.00004082	0.00006823	0.00062071	0.00055589
