MutationType	DBS78A	DBS78B	DBS78C
AC>CA	0.00176532	0.00638180	0.00475696
AC>CG	0.00006857	0.00007168	0.00007292
AC>CT	0.00006857	0.00007168	0.00007292
AC>GA	0.00923283	0.00856444	0.02485854
AC>GG	0.00006857	0.00007168	0.00007292
AC>GT	0.00006857	0.00007168	0.00007292
AC>TA	0.01153917	0.01403335	0.01512237
AC>TG	0.00350561	0.00433037	0.00601154
AC>TT	0.00006857	0.00007168	0.00007292
AT>CA	0.00006857	0.00007168	0.00007292
AT>CC	0.00524156	0.00272513	0.00343275
AT>CG	0.00006857	0.00007168	0.00007292
AT>GA	0.00396313	0.00629233	0.00274629
AT>GC	0.00006857	0.00007168	0.00007292
AT>TA	0.00710728	0.00894025	0.00698937
CC>AA	0.00001133	0.17952132	0.06577248
CC>AG	0.07190747	0.03421608	0.04727490
CC>AT	0.03883323	0.02035855	0.01706237
CC>GA	0.02740034	0.01464583	0.00845771
CC>GG	0.00006857	0.00007168	0.00007292
CC>GT	0.00830337	0.01348251	0.01677625
CC>TA	0.02543793	0.03308676	0.02253493
CC>TG	0.01565388	0.00663084	0.00498989
CC>TT	0.08400629	0.03364148	0.02793574
CG>AT	0.00390196	0.00350566	0.00501513
CG>GC	0.00006857	0.00007168	0.00007292
CG>GT	0.00006857	0.00007168	0.00007292
CG>TA	0.00424056	0.00376002	0.00482549
CG>TC	0.01247961	0.01429082	0.01234930
CG>TT	0.00852927	0.00724959	0.00968527
CT>AA	0.00006857	0.00007168	0.00007292
CT>AC	0.00564040	0.00426766	0.00350908
CT>AG	0.01733920	0.01664183	0.00594364
CT>GA	0.01051556	0.00483302	0.01147881
CT>GC	0.00006857	0.00007168	0.00007292
CT>GG	0.01910079	0.00910079	0.01001619
CT>TA	0.01957536	0.02394754	0.01065463
CT>TC	0.00445796	0.00344641	0.00519508
CT>TG	0.01151058	0.02333681	0.01522801
GC>AA	0.00001117	0.00001352	0.30419941
GC>AG	0.02137240	0.01535799	0.01278628
GC>AT	0.03784885	0.02972468	0.02225289
GC>CA	0.02330262	0.01020851	0.00754200
GC>CG	0.00006857	0.00007168	0.00007292
GC>TA	0.00798860	0.00919138	0.00430928
TA>AT	0.01187118	0.01658972	0.00967136
TA>CG	0.00006857	0.00007168	0.00007292
TA>CT	0.01726916	0.01010247	0.01255020
TA>GC	0.00006857	0.00007168	0.00007292
TA>GG	0.00006857	0.00007168	0.00007292
TA>GT	0.00006857	0.00007168	0.00007292
TC>AA	0.03418809	0.08675115	0.03358138
TC>AG	0.04628975	0.05139811	0.01173948
TC>AT	0.13918933	0.03468814	0.04920273
TC>CA	0.00735094	0.02068002	0.01130498
TC>CG	0.01420182	0.01580137	0.00974978
TC>CT	0.02175713	0.02828378	0.01255893
TC>GA	0.03248647	0.04531275	0.02448282
TC>GG	0.01180796	0.00832500	0.00705320
TC>GT	0.02426291	0.01237925	0.01283048
TG>AA	0.01793742	0.01087118	0.02510464
TG>AC	0.00006857	0.00007168	0.00007292
TG>AT	0.02996623	0.02302321	0.01030966
TG>CA	0.00220428	0.00387752	0.00609587
TG>CC	0.00587166	0.00408165	0.00428984
TG>CT	0.01687376	0.02309529	0.00976996
TG>GA	0.00785132	0.00613024	0.00280796
TG>GC	0.00006857	0.00007168	0.00007292
TG>GT	0.00504829	0.00965802	0.00747180
TT>AA	0.00006857	0.00007168	0.00007292
TT>AC	0.01431144	0.00813933	0.00600430
TT>AG	0.00554627	0.00382672	0.00402889
TT>CA	0.00006857	0.00007168	0.00007292
TT>CC	0.00006857	0.00007168	0.00007292
TT>CG	0.00006857	0.00007168	0.00007292
TT>GA	0.00536518	0.00514219	0.00339775
TT>GC	0.00006857	0.00007168	0.00007292
TT>GG	0.00491163	0.00432381	0.00445852
