MutationType	DBS1	DBS2	DBS18	DBS78A	DBS78B	DBS78C	DBS78D	DBS78F	DBS78H
AC>CA	0.00004970	0.00037408	0.01032284	0.00959949	0.00356946	0.00267857	0.00418490	0.00491429	0.00669938
AC>CG	0.00002640	0.00003170	0.00270831	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
AC>CT	0.00429109	0.00012603	0.02015771	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
AC>GA	0.00012703	0.00023705	0.00733972	0.01607357	0.00786674	0.00732136	0.01935981	0.01629765	0.01911918
AC>GG	0.00005710	0.00000000	0.00498693	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
AC>GT	0.00296075	0.00028006	0.01222056	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
AC>TA	0.00120031	0.00148031	0.02293684	0.02222853	0.03076981	0.01317949	0.00847149	0.00003944	0.00653879
AC>TG	0.00017204	0.00000636	0.01387712	0.00880957	0.00850192	0.00399947	0.00006634	0.00292465	0.00139206
AC>TT	0.02650674	0.00292062	0.01684274	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
AT>CA	0.00048212	0.00003780	0.00456027	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
AT>CC	0.00029708	0.00000000	0.00181878	0.00563542	0.00860175	0.00551907	0.00007004	0.00296467	0.00121200
AT>CG	0.00000398	0.00000000	0.00074281	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
AT>GA	0.00212054	0.00016804	0.00264049	0.00689536	0.00636284	0.00439437	0.00536488	0.00576088	0.00459295
AT>GC	0.00017404	0.00000585	0.00049459	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
AT>TA	0.00234060	0.00045810	0.00800010	0.01841361	0.00421162	0.00418042	0.01619576	0.00324387	0.00897997
CC>AA	0.00001060	0.72415324	0.01061034	0.00002101	0.00001851	0.01144049	0.00001589	0.00001150	0.00001967
CC>AG	0.00001230	0.07261537	0.04763347	0.01559378	0.09249747	0.05103000	0.05675345	0.01764053	0.01260789
CC>AT	0.01870475	0.10002116	0.09923242	0.05640239	0.03500947	0.00002370	0.01536529	0.01658261	0.02983857
CC>GA	0.00013403	0.01770375	0.01597963	0.04181916	0.03250437	0.00220551	0.02732359	0.00939894	0.01901522
CC>GG	0.00009820	0.00045010	0.00521338	0.00007601	0.00007317	0.00007582	0.00006645	0.00006292	0.00007435
CC>GT	0.00692176	0.00110023	0.01902114	0.02585384	0.01496993	0.01081545	0.01543956	0.01201161	0.01195748
CC>TA	0.01040264	0.01600339	0.02267045	0.08665145	0.03600927	0.00706463	0.02246484	0.00002154	0.01095450
