MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
AC>CA	2.25E-03	1.81E-03	3.26E-03	1.22E-03	1.19E-03	1.02E-03
AC>CG	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
AC>CT	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
AC>GA	7.89E-03	8.22E-03	7.55E-03	3.34E-03	6.54E-03	4.21E-03
AC>GG	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
AC>GT	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
AC>TA	8.65E-03	8.89E-03	6.48E-03	4.50E-03	2.71E-03	6.49E-03
AC>TG	3.69E-03	3.25E-03	2.21E-06	2.17E-03	1.30E-03	2.69E-03
AC>TT	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
AT>CA	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
AT>CC	4.02E-03	1.28E-03	3.38E-03	1.53E-03	2.16E-03	4.00E-03
AT>CG	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
AT>GA	2.43E-03	3.20E-03	2.36E-03	1.73E-03	2.07E-03	1.77E-03
AT>GC	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
AT>TA	4.04E-03	2.48E-03	5.69E-03	3.54E-03	2.28E-03	1.97E-03
CC>AA	2.54E-06	2.35E-06	2.01E-06	1.80E-02	1.79E-06	3.22E-02
CC>AG	3.46E-02	1.70E-02	2.90E-06	1.66E-02	1.47E-02	1.59E-02
CC>AT	1.73E-02	1.04E-02	1.57E-02	6.05E-03	6.55E-03	5.69E-03
CC>GA	9.66E-03	1.38E-02	6.61E-03	4.27E-03	3.41E-03	1.17E-02
CC>GG	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
CC>GT	6.02E-03	8.94E-03	6.54E-03	3.62E-03	3.99E-03	7.10E-03
CC>TA	1.36E-02	8.78E-03	1.16E-02	9.38E-03	1.16E-02	7.47E-03
CC>TG	3.80E-03	7.10E-03	4.07E-03	3.04E-03	2.06E-03	4.11E-03
CC>TT	2.75E-06	3.02E-02	8.19E-03	1.35E-02	8.42E-03	9.76E-03
CG>AT	2.46E-03	2.14E-03	2.15E-03	1.24E-03	2.16E-03	1.63E-03
CG>GC	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
CG>GT	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
CG>TA	2.04E-03	2.44E-03	2.08E-03	1.43E-06	2.04E-03	2.01E-03
CG>TC	7.44E-03	9.78E-03	7.07E-03	3.06E-03	3.93E-03	4.97E-03
CG>TT	1.46E-03	3.26E-03	6.30E-03	1.63E-03	4.40E-03	4.08E-03
CT>AA	1.30E-06	1.50E-06	1.37E-06	8.77E-07	1.07E-06	1.20E-06
CT>AC	2.01E-03	2.68E-03	2.07E-03	1.18E-03	1.94E-03	2.17E-03
