MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
AC>CA	0.00539915	0.00427785	0.01143508	0.00258781	0.00256054	0.00151797
AC>CG	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
AC>CT	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
AC>GA	0.01633933	0.01653310	0.01895688	0.00604013	0.01833081	0.01081426
AC>GG	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
AC>GT	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
AC>TA	0.02445542	0.02854920	0.01333242	0.00857673	0.00275231	0.01515267
AC>TG	0.00806189	0.00671739	0.00006337	0.00455101	0.00186009	0.00612278
AC>TT	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
AT>CA	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
AT>CC	0.00905954	0.00193735	0.00702578	0.00206961	0.00312415	0.00641879
AT>CG	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
AT>GA	0.00708530	0.00773900	0.00414367	0.00369027	0.00586587	0.00307197
AT>GC	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
AT>TA	0.00668522	0.00431003	0.01789781	0.00721185	0.00512787	0.00412726
CC>AA	0.00002020	0.00001414	0.00001744	0.03798555	0.00000974	0.39064082
CC>AG	0.17908773	0.03563062	0.00002502	0.03876514	0.02458856	0.02831327
CC>AT	0.07206718	0.02712237	0.04471786	0.00857626	0.00931035	0.00571969
CC>GA	0.02829310	0.03692948	0.01558064	0.00869620	0.00343759	0.02660408
CC>GG	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
CC>GT	0.01602443	0.02551653	0.01535205	0.00763698	0.00834706	0.01421502
CC>TA	0.03978416	0.01240228	0.03086711	0.02242142	0.03033482	0.01567563
CC>TG	0.00829211	0.01910449	0.00957749	0.00912289	0.00361499	0.00592693
CC>TT	0.00002105	0.22719478	0.00900308	0.03250581	0.01191523	0.01406318
CG>AT	0.00711982	0.00507370	0.00457917	0.00220915	0.00618537	0.00338873
CG>GC	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
CG>GT	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
CG>TA	0.00363909	0.00846130	0.00618768	0.00006404	0.00478419	0.00514483
CG>TC	0.02202410	0.02808591	0.01892065	0.00443733	0.00699109	0.01036757
CG>TT	0.00213885	0.00726350	0.02029264	0.00386717	0.00854175	0.00730190
CT>AA	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
CT>AC	0.00417953	0.00775848	0.00337716	0.00218013	0.00629133	0.00485144
CT>AG	0.01591886	0.01956392	0.00541290	0.01440726	0.01157266	0.00674279
CT>GA	0.00302323	0.00518328	0.02284340	0.00806863	0.00712108	0.00396920
CT>GC	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
CT>GG	0.01895263	0.02256215	0.01194515	0.00640125	0.02496864	0.00424139
CT>TA	0.03428042	0.00853329	0.00558564	0.01241722	0.01335172	0.02591993
CT>TC	0.00353839	0.00616856	0.00893814	0.00117927	0.00491478	0.00303106
CT>TG	0.03122156	0.02910595	0.03337979	0.00893643	0.00002902	0.01394161
GC>AA	0.00001847	0.00001733	0.00002177	0.52170505	0.00000967	0.00001843
GC>AG	0.00274840	0.01406409	0.05140330	0.00473735	0.02302935	0.01826003
GC>AT	0.03631815	0.03012309	0.01159308	0.01351839	0.03821525	0.04398059
GC>CA	0.01694889	0.01464465	0.02963133	0.00671291	0.01347091	0.00305857
GC>CG	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
GC>TA	0.00314566	0.01861221	0.00555392	0.00584139	0.00552506	0.00980049
TA>AT	0.01446623	0.02851341	0.02758572	0.00132944	0.01574254	0.00230161
TA>CG	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TA>CT	0.03406241	0.01602943	0.02670058	0.00896486	0.00129004	0.00893109
TA>GC	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TA>GG	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
TA>GT	0.00007137	0.00007146	0.00007202	0.00007461	0.00006525	0.00007308
